Items Report
"Nov 1, 2025 12:00 AM - Nov 30, 2025 11:59 PM"
"Requested on: Apr 2, 2026 4:59 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$38,853.26"
Net Sales,"$38,726.24"
COGS,"$11,183.67"
Gross Profit,"$26,946.45"
Gross Profit Margin,69.58%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
,Moong Khakhra,$5.97,$5.97,3,0," "," ",-,$0.00,$0.00,0.02%,$1.99,$0.00,$5.97
,Garlic Khakhra,$1.99,$1.99,1,0," "," ",-,$0.00,$0.00,0.01%,$1.99,$0.92,$1.07
,Golgappa Khakhra,$1.99,$1.99,1,0," "," ",-,$0.00,$0.00,0.01%,$1.99,$0.00,$1.99
Total (Khakhra),,$149.25,$149.25,75,0,-," ",$0.00,$0.00,$0.00,0.39%,$1.99,$55.87,$93.38

Muffins & Pound Cake
,Tuti Fruity Pound Cake,$41.25,$41.25,11,0," "," ",-,$0.00,$0.00,0.11%,$3.75,$0.00,$41.25
,Tuti Fruti  Pound Cake,$29.94,$29.94,6,0," "," ",-,$0.00,$0.00,0.08%,$4.99,-,-
,Rasmalai Pound Cake,$18.75,$18.75,5,0," "," ",-,$0.00,$0.00,0.05%,$3.75,$12.50,$6.25
,Choco Chip Pound Cake,$15.00,$15.00,4,0," "," ",-,$0.00,$0.00,0.04%,$3.75,$10.00,$5.00
,Plum Cake,$9.49,$9.49,1,0," "," ",-,$0.00,$0.00,0.02%,$9.49,-,-
,Tutti Frutti Muffin,$8.36,$8.36,4,0," "," ",-,$0.00,$0.00,0.02%,$2.09,$0.00,$8.36
,Vanilla Muffin,$6.27,$6.27,3,0," "," ",-,$0.00,$0.00,0.02%,$2.09,$0.00,$6.27
,Choco Bite Pound Cake,$3.75,$3.75,1,0," "," ",-,$0.00,$0.00,0.01%,$3.75,-,-
,Tuti Fruti Muffin,$2.99,$2.99,1,0," "," ",-,$0.00,$0.00,0.01%,$2.99,-,-
Total (Muffins & Pound Cake),,$135.80,$135.80,36,0,-," ",$0.00,$0.00,$0.00,0.35%,$3.77,$22.50,$67.13

Brownie
,Chocolate brownie,$19.25,$19.25,7,0," "," ",-,$0.00,$0.00,0.05%,$2.75,$9.59,$9.66
,Walnut Brownie,$16.75,$16.75,5,0," "," ",-,$0.00,$0.00,0.04%,$3.35,$8.20,$8.55
,Oreo Brownie,$13.00,$13.00,4,0," "," ",-,$0.00,$0.00,0.03%,$3.25,$6.56,$6.44
Total (Brownie),,$49.00,$49.00,16,0,-," ",$0.00,$0.00,$0.00,0.13%,$3.06,$24.35,$24.65

Rusk
,Garlic Crust 200gm,$25.50,$25.50,6,0," "," ",-,$0.00,$0.00,0.07%,$4.25,$0.00,$25.50
,Milk Rusk 200gm,$8.25,$8.25,3,0," "," ",-,$0.00,$0.00,0.02%,$2.75,$3.24,$5.01
Total (Rusk),,$33.75,$33.75,9,0,-," ",$0.00,$0.00,$0.00,0.09%,$3.75,$3.24,$30.51

Combo
,Tea + Maska Bun,$8.78,$8.78,2,0," "," ",-,$0.00,$0.00,0.02%,$4.39,$0.00,$8.78
Total (Combo),,$8.78,$8.78,2,0,-," ",$0.00,$0.00,$0.00,0.02%,$4.39,$0.00,$8.78

Cream Roll
,Frosting Muffin,$2.99,$2.99,1,0," "," ",-,$0.00,$0.00,0.01%,$2.99,$0.00,$2.99
Total (Cream Roll),,$2.99,$2.99,1,0,-," ",$0.00,$0.00,$0.00,0.01%,$2.99,$0.00,$2.99

TOTAL,,"$38,853.26","$38,726.24",6625,1,-," ",$30.00,-$75.03,-$51.99,100.00%,$5.85,"$11,183.67","$26,946.45"
