Items Report
"Sep 1, 2025 12:00 AM - Sep 30, 2025 11:59 PM"
"Requested on: Apr 2, 2026 5:00 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$45,893.62"
Net Sales,"$45,803.30"
COGS,"$12,186.33"
Gross Profit,"$32,870.59"
Gross Profit Margin,71.76%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
,Chutney Sandwich,$6.98,$6.98,2,0," "," ",-,$0.00,$0.00,0.02%,$3.49,$0.00,$6.98
,Extra Kulcha 1,$1.00,$1.00,1,0," "," ",-,$0.00,$0.00,0.00%,$1.00,$0.00,$1.00
Total (Snacks),,"$9,622.91","$9,596.21",1088,1.00,-,96,$7.50,-$9.51,-$17.19,20.95%,$8.83,$0.00,"$9,164.44"

"Pastries "
,Rasbhari Rasmalai,$837.25,$837.25,175,0," "," ",-,$0.00,$0.00,1.83%,$4.78,$432.25,$405.00
,Royal Cassatta,$579.50,$577.04,122,0," "," ",-,-$2.46,$0.00,1.26%,$4.73,$334.28,$242.76
,Black Forest,$450.50,$450.50,106,0," "," ",-,$0.00,$0.00,0.98%,$4.25,$232.14,$218.36
,Ferrero Rocher,$406.25,$406.25,65,0," "," ",-,$0.00,$0.00,0.89%,$6.25,$213.85,$192.40
,Red Velvet,$387.99,$387.99,81,0," "," ",-,$0.00,$0.00,0.85%,$4.79,$200.07,$187.92
,Chocolate Chip,$374.15,$373.02,87,0," "," ",-,-$1.13,$0.00,0.81%,$4.29,$0.00,$373.02
,Gulabjamun Cheesecake,$370.35,$370.35,59,0," "," ",-,$0.00,$0.00,0.81%,$6.28,$206.50,$163.85
,Pine butterscotch,$358.06,$358.06,74,0," "," ",-,$0.00,$0.00,0.78%,$4.84,$182.78,$175.28
,Oreo Crunch,$320.25,$320.25,61,0," "," ",-,$0.00,$0.00,0.70%,$5.25,$167.14,$153.11
,Royal Chocolate,$315.00,$315.00,60,0," "," ",-,$0.00,$0.00,0.69%,$5.25,$0.00,$315.00
,Biscoff Cheese Cake,$281.25,$281.25,45,0," "," ",-,$0.00,$0.00,0.61%,$6.25,$0.00,$281.25
,Juicy Pineapple,$239.10,$239.10,56,0," "," ",-,$0.00,$0.00,0.52%,$4.27,$0.00,$239.10
,Choco Delight,$238.00,$238.00,56,0," "," ",-,$0.00,$0.00,0.52%,$4.25,$122.64,$115.36
,White Forest,$212.50,$212.50,50,0," "," ",-,$0.00,$0.00,0.46%,$4.25,$109.50,$103.00
,Alphonso,$178.50,$178.50,42,0," "," ",-,$0.00,$0.00,0.39%,$4.25,$0.00,$178.50
,Choco Pie,$150.00,$150.00,24,0," "," ",-,$0.00,$0.00,0.33%,$6.25,$0.00,$150.00
,Strawberry Delight,$140.25,$139.68,33,0," "," ",-,-$0.57,$0.00,0.30%,$4.23,$72.27,$67.41
,Mango Cheese Cake,$139.10,$139.10,22,0," "," ",-,$0.00,$0.00,0.30%,$6.32,$0.00,$139.10
,Bourbon Chocolate,$136.50,$136.50,26,0," "," ",-,$0.00,$0.00,0.30%,$5.25,$58.50,$78.00
,Roasted Almond,$125.00,$125.00,20,0," "," ",-,$0.00,$0.00,0.27%,$6.25,$0.00,$125.00
,"Creamy Vanilla ",$124.35,$124.35,29,0," "," ",-,$0.00,$0.00,0.27%,$4.29,$0.00,$124.35
,Blueberry Delight,$72.25,$71.68,17,0," "," ",-,-$0.57,$0.00,0.16%,$4.22,$37.23,$34.45
Total (Pastries ),,"$6,436.10","$6,431.37",1310,0,-," ",$0.00,-$4.73,$0.00,14.04%,$4.91,"$2,369.15","$4,062.22"

Cake 1LB
,Rasbhari rasmalai 1lb,"$1,017.13",$989.64,37,0," "," ",-,-$27.49,$0.00,2.16%,$26.75,$528.73,$460.91
,Royal Cassatta 1lb,$604.78,$604.78,22,0," "," ",-,$0.00,$0.00,1.32%,$27.49,$314.38,$290.40
