Items Report
"Feb 1, 2026 12:00 AM - Feb 28, 2026 11:59 PM"
"Requested on: Apr 2, 2026 4:58 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$31,012.38"
Net Sales,"$30,641.50"
COGS,"$8,921.62"
Gross Profit,"$20,193.28"
Gross Profit Margin,65.90%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
,Tutti Frutti Muffin,$2.09,$2.09,1,0," "," ",-,$0.00,$0.00,0.01%,$2.09,$0.00,$2.09
Total (Muffins & Pound Cake),,$77.37,$77.37,23,0,-," ",$0.00,$0.00,$0.00,0.25%,$3.36,$0.00,$20.47

Khakhra
,Methi Khakhra,$15.92,$15.92,8,0," "," ",-,$0.00,$0.00,0.05%,$1.99,$7.36,$8.56
,Jeera Khakhra,$11.94,$11.94,6,0," "," ",-,$0.00,$0.00,0.04%,$1.99,$0.00,$11.94
,Masala Khakhra,$9.95,$9.95,5,0," "," ",-,$0.00,$0.00,0.03%,$1.99,$4.60,$5.35
,Moong Khakhra,$3.98,$3.98,2,0," "," ",-,$0.00,$0.00,0.01%,$1.99,$0.00,$3.98
,Peri Peri Slim Bite Khakhra,$3.98,$3.98,2,0," "," ",-,$0.00,$0.00,0.01%,$1.99,$0.00,$3.98
,Plain Khakhra,$3.98,$3.98,2,0," "," ",-,$0.00,$0.00,0.01%,$1.99,$0.00,$3.98
,Cheese Khakhra,$1.99,$1.99,1,0," "," ",-,$0.00,$0.00,0.01%,$1.99,$0.00,$1.99
,Sandwich Khakhra,$1.99,$1.99,1,0," "," ",-,$0.00,$0.00,0.01%,$1.99,$0.00,$1.99
Total (Khakhra),,$53.73,$53.73,27,0,-," ",$0.00,$0.00,$0.00,0.18%,$1.99,$11.96,$41.77

Gifting
,Royal Delight,$31.47,$31.47,3,0," "," ",-,$0.00,$0.00,0.10%,$10.49,$12.18,$19.29
,Nutty Moments,$20.98,$20.98,2,0," "," ",-,$0.00,$0.00,0.07%,$10.49,$8.14,$12.84
Total (Gifting),,$52.45,$52.45,5,0,-," ",$0.00,$0.00,$0.00,0.17%,$10.49,$20.32,$32.13

Brownie
,Chocolate brownie,$35.75,$35.75,13,0," "," ",-,$0.00,$0.00,0.12%,$2.75,$17.81,$17.94
,Oreo Brownie,$9.75,$9.75,3,0," "," ",-,$0.00,$0.00,0.03%,$3.25,$4.92,$4.83
Total (Brownie),,$45.50,$45.50,16,0,-," ",$0.00,$0.00,$0.00,0.15%,$2.84,$22.73,$22.77

Rusk
,Fruit Rusk 200gm,$33.00,$33.00,12,0," "," ",-,$0.00,$0.00,0.11%,$2.75,$12.96,$20.04
,Wheat Rusk 200gm,$2.75,$2.75,1,0," "," ",-,$0.00,$0.00,0.01%,$2.75,$1.01,$1.74
Total (Rusk),,$35.75,$35.75,13,0,-," ",$0.00,$0.00,$0.00,0.12%,$2.75,$13.97,$21.78

Cream Roll
,Cream Roll Chocolate,$6.25,$6.25,5,0," "," ",-,$0.00,$0.00,0.02%,$1.25,$1.55,$4.70
,Cream Roll Vanilla,$6.25,$6.25,5,0," "," ",-,$0.00,$0.00,0.02%,$1.25,$1.55,$4.70
,Frosting Muffin,$3.75,$3.75,1,0," "," ",-,$0.00,$0.00,0.01%,$3.75,$0.00,$3.75
,Cream Roll Orange,$2.50,$2.50,2,0," "," ",-,$0.00,$0.00,0.01%,$1.25,$0.62,$1.88
Total (Cream Roll),,$18.75,$18.75,13,0,-," ",$0.00,$0.00,$0.00,0.06%,$1.44,$3.72,$15.03

TOTAL,,"$31,012.38","$30,641.50",4887,2,-," ",$31.25,-$343.38,-$27.50,100.00%,$6.27,"$8,921.62","$20,193.28"
