Items Report
"Aug 1, 2025 12:00 AM - Aug 31, 2025 11:59 PM"
"Requested on: Apr 2, 2026 5:01 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$27,295.25"
Net Sales,"$27,215.86"
COGS,"$6,810.74"
Gross Profit,"$20,067.62"
Gross Profit Margin,73.74%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
,Rasbhari Rasmalai,$589.00,$583.53,124,1," "," ",-,-$0.72,-$4.75,2.14%,$4.74,$303.81,$279.72
,Oreo Crunch,$346.50,$346.50,66,0," "," ",-,$0.00,$0.00,1.27%,$5.25,$180.84,$165.66
,Black Forest,$344.25,$344.25,81,0," "," ",-,$0.00,$0.00,1.26%,$4.25,$177.39,$166.86
,Royal Cassatta,$342.00,$342.00,72,0," "," ",-,$0.00,$0.00,1.26%,$4.75,$197.28,$144.72
,Ferrero Rocher,$293.75,$293.75,47,0," "," ",-,$0.00,$0.00,1.08%,$6.25,$154.63,$139.12
,Royal Chocolate,$257.25,$257.25,49,0," "," ",-,$0.00,$0.00,0.95%,$5.25,$0.00,$257.25
,Chocolate Chip,$225.25,$225.25,53,0," "," ",-,$0.00,$0.00,0.83%,$4.25,$0.00,$225.25
,White Forest,$221.00,$220.58,52,0," "," ",-,-$0.42,$0.00,0.81%,$4.24,$113.88,$106.70
,Red Velvet,$220.34,$220.34,46,0," "," ",-,$0.00,$0.00,0.81%,$4.79,$113.62,$106.72
,Pine butterscotch,$196.39,$196.39,41,0," "," ",-,$0.00,$0.00,0.72%,$4.79,$101.27,$95.12
,Gulabjamun Cheesecake,$193.75,$193.75,31,0," "," ",-,$0.00,$0.00,0.71%,$6.25,$108.50,$85.25
,Alphonso,$191.25,$191.25,45,0," "," ",-,$0.00,$0.00,0.70%,$4.25,$0.00,$191.25
,Juicy Pineapple,$174.25,$174.25,41,0," "," ",-,$0.00,$0.00,0.64%,$4.25,$0.00,$174.25
,Biscoff Cheese Cake,$150.00,$150.00,24,0," "," ",-,$0.00,$0.00,0.55%,$6.25,$0.00,$150.00
,Choco Delight,$140.25,$140.25,33,0," "," ",-,$0.00,$0.00,0.52%,$4.25,$72.27,$67.98
,Strawberry Delight,$136.00,$136.00,32,0," "," ",-,$0.00,$0.00,0.50%,$4.25,$70.08,$65.92
,"Creamy Vanilla ",$131.75,$131.75,31,0," "," ",-,$0.00,$0.00,0.48%,$4.25,$0.00,$131.75
,Roasted Almond,$112.50,$112.50,18,0," "," ",-,$0.00,$0.00,0.41%,$6.25,$0.00,$112.50
,Bourbon Chocolate,$99.75,$99.75,19,0," "," ",-,$0.00,$0.00,0.37%,$5.25,$42.75,$57.00
,Choco Pie,$87.50,$87.50,14,0," "," ",-,$0.00,$0.00,0.32%,$6.25,$0.00,$87.50
,Blueberry Delight,$68.00,$68.00,16,0," "," ",-,$0.00,$0.00,0.25%,$4.25,$35.04,$32.96
,Mango Cheese Cake,$62.50,$62.50,10,0," "," ",-,$0.00,$0.00,0.23%,$6.25,$0.00,$62.50
Total (Pastries ),,"$4,583.23","$4,577.34",945,1,-," ",$0.00,-$1.14,-$4.75,16.82%,$4.85,"$1,671.36","$2,905.98"

Cake 1LB
,Royal Cassatta 1lb,$522.31,$522.31,19,0," "," ",-,$0.00,$0.00,1.92%,$27.49,$271.51,$250.80
,Ferrero Rocher 1lb,$370.37,$370.37,13,0," "," ",-,$0.00,$0.00,1.36%,$28.49,$185.77,$184.60
,Rasbhari rasmalai 1lb,$357.37,$357.37,13,0," "," ",-,$0.00,$0.00,1.31%,$27.49,$185.77,$171.60
,White Forest 1lb,$344.37,$344.37,13,0," "," ",-,$0.00,$0.00,1.27%,$26.49,$178.62,$165.75
,Oreo Crunch 1lb,$329.88,$329.88,12,0," "," ",-,$0.00,$0.00,1.21%,$27.49,$171.48,$158.40
,Choco Delight 1lb,$298.87,$298.87,13,0," "," ",-,$0.00,$0.00,1.10%,$22.99,$157.17,$141.70
,Pine Butterscotch 1lb,$238.41,$238.41,9,0," "," ",-,$0.00,$0.00,0.88%,$26.49,$123.66,$114.75
,Red Velvet 1lb,$164.94,$164.94,6,0," "," ",-,$0.00,$0.00,0.61%,$27.49,$85.74,$79.20
,Black Forest 1lb,$137.94,$137.94,6,0," "," ",-,$0.00,$0.00,0.51%,$22.99,$72.54,$65.40
,Juicy Pineapple 1lb,$137.94,$137.94,6,0," "," ",-,$0.00,$0.00,0.51%,$22.99,$72.54,$65.40
,Alphonso 1lb,$137.94,$133.34,6,0," "," ",-,-$4.60,$0.00,0.49%,$22.22,$72.54,$60.80
,Dark Forest 1LB,$106.96,$106.96,4,0," "," ",-,$0.00,$0.00,0.39%,$26.74,$57.16,$49.80
,Royal Chocolate 1lb,$85.47,$85.47,3,0," "," ",-,$0.00,$0.00,0.31%,$28.49,$44.52,$40.95
,Choco Pie 1LB,$52.98,$52.98,2,0," "," ",-,$0.00,$0.00,0.19%,$26.49,$27.48,$25.50
,Creamy Vanilla 1LB,$45.98,$45.98,2,0," "," ",-,$0.00,$0.00,0.17%,$22.99,$24.18,$21.80
,Roasted Almond 1LB,$29.49,$29.49,1,0," "," ",-,$0.00,$0.00,0.11%,$29.49,$15.39,$14.10
,Bourbon Chocolate 1lb,$27.49,$27.49,1,0," "," ",-,$0.00,$0.00,0.10%,$27.49,$14.29,$13.20
,Choco Chip Forest 1lb,$26.49,$26.49,1,0," "," ",-,$0.00,$0.00,0.10%,$26.49,$13.74,$12.75
Total (Cake 1LB),,"$3,415.20","$3,410.60",130,0,-," ",$0.00,-$4.60,$0.00,12.53%,$26.24,"$1,774.10","$1,636.50"

Cake 2LB
,Black Forest Cake 2LB,$321.93,$321.93,7,0," "," ",-,$0.00,$0.00,1.18%,$45.99,$169.33,$152.60
,Rasmalai 2Lb,$272.45,$272.45,5,0," "," ",-,$0.00,$0.00,1.00%,$54.49,$142.95,$129.50
