Items Report
"Dec 1, 2025 12:00 AM - Dec 31, 2025 11:59 PM"
"Requested on: Apr 2, 2026 4:59 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$41,041.45"
Net Sales,"$40,148.22"
COGS,"$11,171.97"
Gross Profit,"$27,851.42"
Gross Profit Margin,69.37%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Total (Snacks),,"$7,481.25","$6,884.54",819,0,-,135,$1.50,-$596.71,$0.00,17.15%,$8.41,$0.00,"$6,466.74"

Cake 2LB
,Rasmalai 2Lb,$987.81,$987.81,19,0," "," ",-,$0.00,$0.00,2.46%,$51.99,$543.21,$444.60
,Ferrero Rocher 2 Lb,$863.84,$863.84,16,0," "," ",-,$0.00,$0.00,2.15%,$53.99,$475.04,$388.80
,Royal Cassatta 2LB,$727.86,$727.86,14,0," "," ",-,$0.00,$0.00,1.81%,$51.99,$415.66,$312.20
,Pine Butterscotch 2LB,$649.87,$649.87,13,0," "," ",-,$0.00,$0.00,1.62%,$49.99,$357.37,$292.50
,Dark Forest 2LB,$623.88,$623.88,12,0," "," ",-,$0.00,$0.00,1.55%,$51.99,$356.28,$267.60
,Black Forest Cake 2LB,$571.87,$571.87,13,0," "," ",-,$0.00,$0.00,1.42%,$43.99,$314.47,$257.40
,Red Velvet 2LB,$467.91,$467.91,9,0," "," ",-,$0.00,$0.00,1.17%,$51.99,$257.31,$210.60
,Choco Chip Forest Cake 2LB,$415.58,$415.58,8,0," "," ",-,$0.00,$0.00,1.04%,$51.95,$219.92,$195.66
,Alphonso 2LB,$395.91,$395.91,9,0," "," ",-,$0.00,$0.00,0.99%,$43.99,$217.71,$178.20
,Choco delight 2 lb,$365.42,$365.42,8,0," "," ",-,$0.00,$0.00,0.91%,$45.68,$193.52,$171.90
,Oreo Crunch 2 Lb,$259.95,$259.95,5,0," "," ",-,$0.00,$0.00,0.65%,$51.99,$142.95,$117.00
,Juicy Pineapple 2LB,$219.95,$219.95,5,0," "," ",-,$0.00,$0.00,0.55%,$43.99,$120.95,$99.00
,Choco Pie 2LB,$149.97,$149.97,3,0," "," ",-,$0.00,$0.00,0.37%,$49.99,$82.47,$67.50
,Bourbon Chocolate 2LB,$51.99,$51.99,1,0," "," ",-,$0.00,$0.00,0.13%,$51.99,$28.59,$23.40
,Creamy Vanilla 2LB,$43.99,$0.00,1,1," "," ",-,$0.00,-$43.99,0%,-,$0.00,$0.00
Total (Cake 2LB),,"$6,795.80","$6,751.81",136,1,-," ",$0.00,$0.00,-$43.99,16.82%,$50.01,"$3,725.45","$3,026.36"

Cake 1LB
,Pine Butterscotch 1lb,$707.88,$701.18,28,0," "," ",-,-$6.70,$0.00,1.75%,$25.04,$384.72,$316.46
,Rasbhari rasmalai 1lb,$701.73,$693.93,27,0," "," ",-,-$7.80,$0.00,1.73%,$25.70,$385.83,$308.10
,Black Forest 1lb,$685.03,$678.13,29,0," "," ",-,-$6.90,$0.00,1.69%,$23.38,$350.61,$327.52
,Ferrero Rocher 1lb,$557.12,$557.12,20,0," "," ",-,$0.00,$0.00,1.39%,$27.86,$285.80,$271.32
,Dark Forest 1LB,$467.82,$467.82,18,0," "," ",-,$0.00,$0.00,1.17%,$25.99,$257.22,$210.60
,Royal Cassatta 1lb,$389.85,$389.85,15,0," "," ",-,$0.00,$0.00,0.97%,$25.99,$214.35,$175.50
,Choco Pie 1LB,$358.02,$358.02,14,0," "," ",-,$0.00,$0.00,0.89%,$25.57,$192.36,$165.66
