Items Report
"Jan 1, 2026 12:00 AM - Jan 31, 2026 11:59 PM"
"Requested on: Apr 2, 2026 4:59 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$35,381.57"
Net Sales,"$35,357.20"
COGS,"$9,547.67"
Gross Profit,"$24,503.86"
Gross Profit Margin,69.30%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Total (Brownie),,$67.75,$67.75,23,0,-," ",$0.00,$0.00,$0.00,0.19%,$2.95,$33.67,$34.08

Rusk
,Garlic Crust 200gm,$12.75,$12.75,3,0," "," ",-,$0.00,$0.00,0.04%,$4.25,$0.00,$12.75
,Milk Rusk 200gm,$5.50,$5.50,2,0," "," ",-,$0.00,$0.00,0.02%,$2.75,$2.16,$3.34
Total (Rusk),,$18.25,$18.25,5,0,-," ",$0.00,$0.00,$0.00,0.05%,$3.65,$2.16,$16.09

Combo
,Tea + Maska Bun,$13.17,$13.17,3,0," "," ",-,$0.00,$0.00,0.04%,$4.39,$0.00,$13.17
Total (Combo),,$13.17,$13.17,3,0,-," ",$0.00,$0.00,$0.00,0.04%,$4.39,$0.00,$13.17

Cream Roll
,Cream Roll Vanilla,$6.25,$6.25,5,0," "," ",-,$0.00,$0.00,0.02%,$1.25,$1.55,$4.70
,Cream Roll Chocolate,$2.50,$2.50,2,0," "," ",-,$0.00,$0.00,0.01%,$1.25,$0.62,$1.88
,Cream Roll Orange,$1.25,$1.25,1,0," "," ",-,$0.00,$0.00,0.00%,$1.25,$0.31,$0.94
Total (Cream Roll),,$10.00,$10.00,8,0,-," ",$0.00,$0.00,$0.00,0.03%,$1.25,$2.48,$7.52

TOTAL,,"$35,381.57","$35,357.20",5925,3,-," ",$2.00,-$7.40,-$16.97,100.00%,$5.97,"$9,547.67","$24,503.86"
