Items Report,,,,,,,,,,,,,,
"Mar 1, 2026 12:00 AM - Mar 31, 2026 11:59 PM",,,,,,,,,,,,,,
"Requested on: Apr 2, 2026 5:06 PM",,,,,,,,,,,,,,
Filters: Item Type = Revenue Items,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Categories: All,,,,,,,,,,,,,,
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders.",,,,,,,,,,,,,,
Items assigned to multiple categories are reported in just one category (the one created first).,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gross Sales,"$39,424.46 ",,,,,,,,,,,,,
Net Sales,"$37,392.30 ",,,,,,,,,,,,,
COGS,"$10,221.82 ",,,,,,,,,,,,,
Gross Profit,"$25,478.94 ",,,,,,,,,,,,,
Gross Profit Margin,68.14%,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
,, , , , ,No Onions,3,$0.00 , , , , , , 
,, , , , ,No Zuccini,1,$0.00 , , , , , , 
,Chole Kulcha,$211.29 ,$195.34 ,23,0, , ,-,($15.95),$0.00 ,0.52%,$8.49 ,$0.00 ,$195.34 
,Masala Fries,$185.37 ,$185.37 ,33,0, , ,-,$0.00 ,$0.00 ,0.50%,$5.62 ,$0.00 ,$185.37 
,, , , , ,No Masala,1,$0.00 , , , , , , 
,Jalapeño Poppers,$101.25 ,$101.25 ,21,0, , ,-,$0.00 ,$0.00 ,0.27%,$4.82 ,$0.00 ,$101.25 
,Potato Stuffed Grill Sandwich,$90.21 ,$90.21 ,9,0, , ,-,$0.00 ,$0.00 ,0.24%,$10.02 ,$0.00 ,$90.21 
,Cheesy Garlic Bread,$77.91 ,$77.91 ,9,0, , ,-,$0.00 ,$0.00 ,0.21%,$8.66 ,$0.00 ,$77.91 
,Bombay Sandwich,$76.89 ,$76.89 ,11,0, , ,-,$0.00 ,$0.00 ,0.21%,$6.99 ,-,-
,Grill Cheese Sandwich,$71.21 ,$69.21 ,9,0, , ,-,($2.00),$0.00 ,0.19%,$7.69 ,$0.00 ,$69.21 
,Paneer Tikka Pizza,$68.76 ,$68.76 ,4,0, , ,-,$0.00 ,$0.00 ,0.18%,$17.19 ,-,-
,Cheese Pizza,$65.61 ,$65.61 ,5,0, , ,-,$0.00 ,$0.00 ,0.18%,$13.12 ,$0.00 ,$65.61 
,Paneer Bhurji With Kulcha,$62.93 ,$62.93 ,7,0, , ,-,$0.00 ,$0.00 ,0.17%,$8.99 ,-,-
,Mozzarella Sticks,$61.85 ,$61.85 ,13,0, , ,-,$0.00 ,$0.00 ,0.17%,$4.76 ,$0.00 ,$61.85 
,Schezwan Paneer Roll,$47.21 ,$47.21 ,5,0, , ,-,$0.00 ,$0.00 ,0.13%,$9.44 ,$0.00 ,$47.21 
,Chilly Cheese Toast,$45.95 ,$45.95 ,5,0, , ,-,$0.00 ,$0.00 ,0.12%,$9.19 ,$0.00 ,$45.95 
,Pesto Paneer Pizza,$41.25 ,$41.25 ,3,0, , ,-,$0.00 ,$0.00 ,0.11%,$13.75 ,$0.00 ,$41.25 
,Chutney Sandwich,$18.35 ,$18.35 ,5,0, , ,-,$0.00 ,$0.00 ,0.05%,$3.67 ,$0.00 ,$18.35 
,Bread Butter,$18.24 ,$18.24 ,6,0, , ,-,$0.00 ,$0.00 ,0.05%,$3.04 ,$0.00 ,$18.24 
,Spinach & Corn Sandwich,$9.49 ,$9.49 ,1,0, , ,-,$0.00 ,$0.00 ,0.03%,$9.49 ,$0.00 ,$9.49 
,Extra Kulcha 1,$3.75 ,$3.75 ,3,0, , ,-,$0.00 ,$0.00 ,0.01%,$1.25 ,$0.00 ,$3.75 
Total (Snacks),,"$7,460.30 ","$7,323.47 ",838,1,-,86,$1.50 ,($127.34),($9.49),19.59%,$8.75 ,$0.00 ,"$6,085.98 "
,,,,,,,,,,,,,,
Cake 2LB,,,,,,,,,,,,,,
,Rasmalai 2Lb,"$1,455.72 ","$1,174.93 ",28,0, , ,-,($280.79),$0.00 ,3.14%,$41.96 ,$800.52 ,$374.41 
,Ferrero Rocher 2 Lb,$971.82 ,$777.43 ,18,0, , ,-,($194.39),$0.00 ,2.08%,$43.19 ,$534.42 ,$243.01 
,Pine Butterscotch 2LB,$865.49 ,$735.49 ,17,0, , ,-,($130.00),$0.00 ,1.97%,$43.26 ,$467.33 ,$268.16 
,Choco Chip Forest Cake 2LB,$549.89 ,$449.89 ,11,0, , ,-,($100.00),$0.00 ,1.20%,$40.90 ,$302.39 ,$147.50 
,White Forest 2LB,$449.91 ,$369.91 ,9,0, , ,-,($80.00),$0.00 ,0.99%,$41.10 ,$247.41 ,$122.50 
,Royal Cassatta 2LB,$363.93 ,$291.13 ,7,0, , ,-,($72.80),$0.00 ,0.78%,$41.59 ,$207.83 ,$83.30 
,Alphonso 2LB,$351.92 ,$290.33 ,8,0, , ,-,($61.59),$0.00 ,0.78%,$36.29 ,$193.52 ,$96.81 
,Choco delight 2 lb,$351.92 ,$290.32 ,8,0, , ,-,($61.60),$0.00 ,0.78%,$36.29 ,$193.52 ,$96.80 
,Juicy Pineapple 2LB,$321.43 ,$274.73 ,7,0, , ,-,($46.70),$0.00 ,0.73%,$39.25 ,$169.33 ,$105.40 
,Red Velvet 2LB,$311.94 ,$249.54 ,6,0, , ,-,($62.40),$0.00 ,0.67%,$41.59 ,$171.54 ,$78.00 
,Black Forest Cake 2LB,$175.96 ,$140.76 ,4,0, , ,-,($35.20),$0.00 ,0.38%,$35.19 ,$96.76 ,$44.00 
,Oreo Crunch 2 Lb,$120.74 ,$96.59 ,2,0, , ,-,($24.15),$0.00 ,0.26%,$48.30 ,$57.18 ,$39.41 
,Biscoff Cheesecake 2LB,$52.99 ,$42.39 ,1,0, , ,-,($10.60),$0.00 ,0.11%,$42.39 ,$0.00 ,$42.39 
,Mango Cheese Cake 2lb,$52.99 ,$42.39 ,1,0, , ,-,($10.60),$0.00 ,0.11%,$42.39 ,$0.00 ,$42.39 
